,Debdeep Mukhopadhyay,abhilash jindal,Jayant Haritsa,Manindra Agrawal,Sandeep Shukla,Arpita Patra,Sukhendu Das,Mayank Singh,Soumen Chakrabarti,Satrajit ghosh,Shankara Narayanan Krishna,Shishir N. Y. Kolathaya,Nipun Batra,Mitesh Khapra,Shivaram Kalyanakrishnan,Krithi Ramamritham,Biswabandan Panda,Somak Aditya,Shanmuganathan Raman,Shweta Agrawal,Balaraman Ravindran,Anurag Mittal,Sayan Ranu,Sourangshu Bhattacharya,Surender Baswana,Ayon Chakraborty,Abir Das,Vinay P. Namboodiri,Pallab Dasgupta,Suyash P. Awate,Raghavan Komondoor,Parag Chaudhuri,V Krishna Nandivada,Nitin Saxena,Parag Singla,Niloy Ganguly,Abhishek Bichhawat,Shalabh Bhatnagar,Subhashish Banerjee,Smruti R. Sarangi,palash dey,Mainack Mondal,Bhargab B. Bhattacharya,Prashanth L.A.,soumyajit dey,Amey Karkare,Uday Reddy Bondhugula,Rijurekha Sen,Sudeshna Kolay,Chandan Saha,Animesh Mukherjee,Pabitra Mitra,Anirban Dasgupta,Kartik Nagar,Om P. Damani,Neeldhara Misra,Ajit Rajwade,Chetan Arora,Siddharth Barman,Bivas Mitra,Arnab Bhattacharya,Chaya Ganesh,Vinod Ganapathy,Piyush Rai,Aritra Hazra,Shirish Shevade,Chester Rebeiro,Partha Talukdar,Dr. Pushpak Bhattacharyya,KC Sivaramakrishnan,Saptarshi Ghosh,Mausam,Vijay Natarajan,Gugan Thoppe | गुगन थोप्पे,Bhavana Kanukurthi,Supratik Chakraborty,Ashutosh Modi,Arkaprava Basu,Ganesh Ramakrishnan,Pawan Goyal,Devarajan Sridharan,Vinay Ribeiro,Naveen Garg,Arindam Khan,Purushottam Kar,Narasimha Murty M/ M. N. Murty/M. N. Narasimha Murthy
Debdeep Mukhopadhyay,1.0,0.9440902867909228,0.9562770233847735,0.9650580226326368,0.9746136870376103,0.7754837652763185,0.7828365950475641,0.1765041463146098,0.9786175163031122,0.9784450001985493,0.7370249543040884,0.6099759679567338,0.5880574719267542,0.6123525354480909,0.8985303234772082,0.9355174449166441,0.35087308249786614,0.47150942115050465,0.2810513836748953,0.6645502434787832,0.9509079747125593,0.8327227143578421,0.5587111915899747,0.2799788669679654,0.9463636423162252,0.8592386150379233,0.9075098361446852,0.31063840532422354,0.9724559318861014,0.6227257998516661,0.9742825309580427,0.5140718328751205,0.6612946886444109,0.9704287051747428,0.5923122343295837,0.9906598643544466,0.5073206340966459,0.9821799844980915,0.8344462095171361,0.6467623920418537,0.4568112911840041,0.698062774010291,0.9913964591360684,0.7034394042036679,0.11870345634133261,0.5866619729933701,0.9892303875529411,0.8130769936826111,0.632281626908255,0.9188660946377795,0.814366157941812,0.9876485657187446,0.9275678812560185,0.7552552409176644,0.9680237662554155,0.5825468072441238,0.3379359386045798,0.1648078883165524,0.6303489006003429,0.4477573791647848,0.9895931590338128,0.5699088201704612,0.9912307829344049,0.6538833568345889,0.37514322456255966,0.7560669964522859,0.6343401389635467,0.9018501138310405,0.973379288152401,0.9150662058183602,0.8027398208077312,0.9781579095812799,0.8636233417092188,0.6349506929974287,0.9247956557669473,0.8279840202932046,0.2843338812325854,0.5049781904414072,0.5753965432869089,0.5099539958989425,0.6799224639423999,0.9065470220416121,0.9754992504625789,0.5738761178771572,0.8379140065285082,0.9708914214416673
abhilash jindal,0.9440902867909228,0.9999999999999998,0.8382951706016152,0.8733015610719624,0.862183610539591,0.8893828242839021,0.8973775649182638,0.44856017581190244,0.8818068164505373,0.8933255858702084,0.898965789520713,0.8210647508576366,0.7926911098513562,0.8009665442115783,0.979876507611016,0.7978013808348949,0.6088732920680514,0.6942853686526362,0.5055333142811465,0.8205444669960757,0.9673504770159086,0.9126530125516247,0.7712231946169117,0.5440379207746875,0.9863881013558415,0.9588340552480793,0.9392790531978847,0.550429425670375,0.9928501064439839,0.7883197377907648,0.9783981797327939,0.7430735585781525,0.8450120732899151,0.9535884315009268,0.7875238624257068,0.9641072884242238,0.7112329438245688,0.9790414935538775,0.9598718105144735,0.8431096228876861,0.6960761302811742,0.8659197857490691,0.904964617268191,0.8703654569686305,0.4076016553962369,0.79606704034669,0.961272474401933,0.9103487245472037,0.8161769128863229,0.9689761378020447,0.9357405417958206,0.9200874017955646,0.9874200637032108,0.8816381290919395,0.9865025310996873,0.7842457897366834,0.5954093082863271,0.41192773567686164,0.820012915298778,0.6890545543687441,0.9462339946588506,0.7661245718704314,0.9579824936696926,0.8047103307700011,0.6249246228103439,0.8773661462054517,0.8212439033815216,0.9654381589143943,0.9245656940426971,0.9904507602903871,0.9355908600013515,0.9799426834021355,0.9555840380309791,0.8240095724059909,0.9687822802000475,0.9584130475683561,0.5470192781398073,0.7409751535440509,0.7777683156709244,0.7276803512065776,0.8476339471169545,0.9869836929129921,0.9188409965670067,0.777356141317061,0.9472631397909173,0.9110403158417912
Jayant Haritsa,0.9562770233847735,0.8382951706016152,1.0,0.9837937017098038,0.9770788528679989,0.5917575327172016,0.622733041688344,-0.052665465372156335,0.9870764713132538,0.9708832142306807,0.5526568492697895,0.4013879880945172,0.3745523351715289,0.41282750124777684,0.7600795905820188,0.9766659193658568,0.11245196317357747,0.2666355292460727,0.06653482662904861,0.45201788037285623,0.8567436842307538,0.6941721784865509,0.3481000601810948,0.04787371657425405,0.853138944453196,0.7061127163143318,0.8018816572672929,0.08475905337782555,0.8819635263340975,0.4372122119917966,0.8951388814977096,0.29407787637243893,0.4694993994300917,0.9123863648861559,0.3869110011823319,0.9375892902384746,0.2939118377962691,0.9080864826263161,0.6740065783196756,0.4422864362153669,0.22619141526076866,0.49985138982054594,0.9730515987038644,0.511029728148549,-0.10880789966441515,0.3727484501075511,0.9405407854397716,0.666218515927117,0.43680152292524355,0.807193165426189,0.6554448226967005,0.9639849248797004,0.8117559883854664,0.6188243458597936,0.8860490703522985,0.3723402938090586,0.10426747901979024,-0.05487891257468197,0.4255816880434704,0.21806474538504553,0.9617783758258945,0.3411953137699962,0.9455435860187699,0.4661809452478854,0.13244918592773808,0.5932466853937868,0.41730313076214454,0.7786318994229261,0.9368873328730454,0.7983457306195204,0.6330309547019495,0.8997481375571121,0.7258775236229057,0.4209154724403455,0.7875098468641591,0.6667557035941928,0.05853341605127757,0.2847508991978037,0.37011644460070436,0.29465319260580747,0.48903577634797013,0.7737582779636943,0.9476456505979284,0.37112359753268415,0.6819490655736739,0.9340211067075339
Manindra Agrawal,0.9650580226326368,0.8733015610719624,0.9837937017098038,1.0,0.9713468145333903,0.6345065813503012,0.6494866397348598,0.0022511789844224146,0.9823186339982166,0.9647145534844306,0.6306954934714559,0.4574915324572558,0.4307167209951528,0.45462479836988157,0.808458622309091,0.9667471896154778,0.17921831425461424,0.30723248855060153,0.10640279442207581,0.5053360046524259,0.8761418062090858,0.7080481178150629,0.4088360328135855,0.1068392465960474,0.8961622070076579,0.7406978846253186,0.808065703328078,0.12928167977404206,0.91469731473234,0.464913153517754,0.9098409035357546,0.355039631763173,0.5233396659783587,0.9573098453178019,0.43283257967909905,0.9530042577745688,0.3356739547867717,0.9338514678408846,0.7281209860047816,0.4995015382851385,0.32440343149063,0.5494740946869431,0.974019224452774,0.5961060881085583,-0.0529216049721225,0.43314230203050513,0.9588365652936823,0.6795747273144837,0.5374939082777123,0.8729099107345903,0.6965561896162628,0.9594285884151336,0.8528906484194971,0.6462921420242568,0.9026360599387965,0.47623881203822477,0.1776105124985394,-0.019599168737388307,0.5250093606526829,0.2797494528664556,0.96302102091804,0.40289044042503924,0.9514577617304376,0.49648558297692097,0.21400214930388722,0.616966441241595,0.4825986421934691,0.7994421247293951,0.9318138355115848,0.8274322321850924,0.6836852540587401,0.9147961352754287,0.7543671943892664,0.48731644165615134,0.8227110993904811,0.7350192114343427,0.1091125151096193,0.34913274830107216,0.41720436758104357,0.34599780389280976,0.5302729396282243,0.8065369316937099,0.9821831956039486,0.4718645844478168,0.7213773504669775,0.932186928609336
Sandeep Shukla,0.9746136870376103,0.862183610539591,0.9770788528679989,0.9713468145333903,0.9999999999999998,0.6294464087811192,0.6725229811443373,-0.011667958360932852,0.9918697421448806,0.9635396423593399,0.5931406754517513,0.448594449219353,0.4221866968449694,0.4540457228024723,0.794078680156723,0.978125593161499,0.15936418178560438,0.2988823920209844,0.13053437183362132,0.4964261862918398,0.8967387334982581,0.7416551571149087,0.38777794237126173,0.08743851442991721,0.8655151299456014,0.7510735986752302,0.8431685853284485,0.13891044807464847,0.9079409747890754,0.4839689583394224,0.9189042137116477,0.33926568276616126,0.49832753861329243,0.9304607081993129,0.4313301013769673,0.9576595694900821,0.31699648531387004,0.9354816148885853,0.7137597902186608,0.4841382074054218,0.278979572135019,0.5358205239768274,0.989263363495005,0.5548537777809028,-0.07997517662021685,0.41937184795418775,0.9537384965304836,0.7060145486920056,0.4765039973385866,0.838096458041131,0.6925677701262085,0.9857390379043105,0.8369509837989555,0.6124189502922144,0.9120442267399355,0.4179355174208271,0.15199856426785874,0.0015266256304311023,0.4720715195361224,0.269579729806309,0.9614794908602555,0.3890563788475388,0.9587416612700304,0.522959618540767,0.18734628974201487,0.6346052041260478,0.46458545158767367,0.8121862003838736,0.955474936392683,0.8163251579046816,0.6737072230863735,0.9273414195619584,0.7488368127829834,0.46921877483135255,0.8266051279131582,0.7030828613367881,0.09750473112924184,0.32465989993086025,0.4111197833006448,0.3379513540280524,0.5369755314471448,0.8066387173414615,0.957930570128356,0.406829509210238,0.7188574192567677,0.9630857454181189
Arpita Patra,0.7754837652763185,0.8893828242839021,0.5917575327172016,0.6345065813503012,0.6294464087811192,1.0000000000000002,0.9494964281864798,0.7084927237489539,0.6371604513271044,0.7211069887178266,0.9366286840121831,0.92330964397067,0.9194218693042525,0.9280257772635137,0.9338572846765931,0.5189009554826577,0.8120952718756258,0.8817337267248478,0.7588254237626358,0.981655853933162,0.867139723085174,0.9313300054567881,0.9139526176187367,0.7849197075041893,0.8770630270991739,0.9540276625267408,0.8909445395494722,0.7940107229297039,0.8616546709935091,0.9226632278239191,0.8445768373848819,0.8961141952601009,0.9386937774007804,0.787057589767057,0.9280493012928017,0.7879119582524305,0.9224531194111034,0.8347542186455202,0.916671471403468,0.9328430497492669,0.8523267873429062,0.961333945369141,0.6973046722286149,0.944468119568448,0.6849967031848859,0.9128933272647778,0.7989820303721296,0.9394956008192117,0.9066164356447645,0.8803387617528853,0.9411080179417257,0.7189519214034755,0.9182511858608,0.954059075063532,0.8560093417099387,0.889251799978342,0.8031342923936805,0.6981978832874163,0.9044895542338982,0.8587537304901386,0.7623833581252649,0.937698104883713,0.7750785775557946,0.9160320455878226,0.8345567516349836,0.9460848591065703,0.9504402778857551,0.9259680601338207,0.7659273311099822,0.9125078937776162,0.9455120856405799,0.846200378176512,0.9332141240169566,0.9491162035901104,0.942707664031183,0.9326095727284032,0.7826251738490914,0.8705078989420125,0.924402673431613,0.8924635141136056,0.9514954783625726,0.9337600895471992,0.7220616387694753,0.8916522426167022,0.9572337074374687,0.7353046279377901
Sukhendu Das,0.7828365950475641,0.8973775649182638,0.622733041688344,0.6494866397348598,0.6725229811443373,0.9494964281864798,0.9999999999999999,0.6978944035478147,0.6667269314268792,0.7177969926543291,0.9221298446453488,0.9288161667701621,0.919803349809443,0.9369140200220849,0.9322134081166996,0.5495112767982449,0.7844031416119482,0.8918096468918778,0.8138322187636291,0.922628774995192,0.9114755896684733,0.9915817212958066,0.9103328619329902,0.7696844276576416,0.8741666203182753,0.9792463552128866,0.9477462731234824,0.8129992734456174,0.8634000898343244,0.9675643103098133,0.866042431911614,0.8947729128723446,0.9163277266143728,0.7872092863206259,0.9392904412591099,0.8120577943838665,0.8655093637688184,0.8555663837586078,0.9066129003935969,0.9256408805354327,0.8252539521081337,0.9300587529948119,0.7072578222139253,0.9236190189270038,0.657693694773558,0.9080080459949436,0.8173898486675656,0.9720289698777855,0.8748884155579615,0.8748132940650071,0.9521691942608858,0.7668683575940355,0.9273091846317996,0.9320623097335252,0.8854432721093686,0.8511628685314351,0.7920246650985434,0.737035728090758,0.8727511712456778,0.8570202260072542,0.7888780252992704,0.8770533893390684,0.7842024841726772,0.9552327007575406,0.8041149960725923,0.9772299146485789,0.9132027155462806,0.9560192647336863,0.8101028896187691,0.9119768210190948,0.949924417105585,0.8750109426023722,0.9361147175206186,0.9260088070887331,0.9126493615034814,0.9219555699299377,0.7769122020046091,0.8481569830643048,0.9357590119705519,0.8918221667733456,0.9790601843738692,0.9407203301519124,0.7218313576762737,0.8554357506547263,0.9687261633491576,0.784197703042277
Mayank Singh,0.1765041463146098,0.44856017581190244,-0.052665465372156335,0.0022511789844224146,-0.011667958360932852,0.7084927237489539,0.6978944035478147,0.9999999999999999,0.0073407037487315035,0.08893278032482606,0.7522895654857185,0.8590610337478588,0.8791529588819867,0.8816907989466152,0.5679282018567858,-0.14929426757918626,0.9545555704797044,0.9374105706235611,0.9174708556266711,0.8064820979088069,0.4008980759365489,0.6268841710989043,0.8917865490007537,0.9742584535110074,0.4173575433814736,0.63735462102797,0.4752526345559443,0.9657946056200458,0.3608962473606048,0.8242003045944538,0.34904946247810087,0.9176011145073047,0.8170920815563355,0.22977825000937785,0.882096330157026,0.2502789556768208,0.8882850349991014,0.30887926111382674,0.6290014840481339,0.8431330606860854,0.8952718234716291,0.8039547044057817,0.06849530004438019,0.7575223136047686,0.9700215760605608,0.8817670634345308,0.23743110362727207,0.6429859634169458,0.7690969483336669,0.43520652984465,0.7058717238791914,0.12761073674949172,0.5048102920241712,0.6967988547338226,0.36340246698812073,0.8066805184679617,0.9580332991466846,0.9407589091913474,0.7890148980180413,0.9368664460378581,0.197260229936817,0.863261916339865,0.20169080604900283,0.7931250447838892,0.9476997228218338,0.7279344811738191,0.8429992607276497,0.5636478451986664,0.22370709002595415,0.5255551186549424,0.7141948447192972,0.3486952805480069,0.6014940692954334,0.8478522893965837,0.5042210931742451,0.6422738192787733,0.9901876509224968,0.9131475239561261,0.8961526866514761,0.9356479759965451,0.8158743833028209,0.5539027791330139,0.11508726887313141,0.8126077895970041,0.6611504354714449,0.16735219739070994
Soumen Chakrabarti,0.9786175163031122,0.8818068164505373,0.9870764713132538,0.9823186339982166,0.9918697421448806,0.6371604513271044,0.6667269314268792,0.0073407037487315035,1.0000000000000002,0.9739414742830498,0.6112000615654871,0.46682848071900584,0.4366084040767741,0.47027056973747916,0.8083405514046849,0.9836574747035111,0.1771060426280715,0.31511908361849567,0.11371318575409142,0.5042158586504524,0.8977207796403355,0.7342602307502465,0.40489865652436685,0.10529237971960213,0.8846162442354798,0.7545921953120053,0.8401702609195665,0.144493377315667,0.9219654247096273,0.4811126334165658,0.926961395361377,0.3545603232852242,0.5198413697334597,0.9413053512130453,0.4445491375366682,0.9675158484121668,0.3372280248497302,0.9442256709162754,0.7355104761630114,0.5030841176205479,0.29509402085387243,0.5530447114260268,0.9933018589659843,0.5692371287199877,-0.057803605209371785,0.4360440640489614,0.9642358649734276,0.7145930090284904,0.49286679608016964,0.8499147709440765,0.709945477392317,0.9862047773763472,0.8501114412802073,0.6346097588819501,0.9212913581493729,0.4346650936012262,0.16423823852422348,-0.007532853184207981,0.4876813411275417,0.283287798334611,0.9728612212325864,0.4018744270105747,0.9721753583028109,0.5245349817854804,0.1991806999114809,0.6428856215011207,0.4765696504133597,0.8221382266839349,0.9609172591879448,0.8403256220653866,0.6902597016173381,0.9362075913766836,0.7649232329032276,0.4813036676507229,0.8313650015104189,0.7238435210464544,0.11798495407157392,0.35109963564210017,0.4239238623831237,0.3546956340782452,0.5415905645836737,0.8218762097584431,0.9670336809828225,0.42605659656291667,0.7321965968249576,0.9629112898865978
Satrajit ghosh,0.9784450001985493,0.8933255858702084,0.9708832142306807,0.9647145534844306,0.9635396423593399,0.7211069887178266,0.7177969926543291,0.08893278032482606,0.9739414742830498,1.0,0.6539220234894912,0.5149659435000792,0.4869474486018232,0.5324966683792588,0.8309461358201613,0.9460599125117213,0.2399293246468909,0.4053078416931414,0.19762330803810566,0.5917666456267061,0.8981755774038339,0.7744604606657479,0.4610521107102098,0.18540004441176836,0.9037631283850435,0.7876299633702296,0.8596004395945559,0.2171805527091527,0.9271228192611393,0.552802768834682,0.9281958908943138,0.4195222322135353,0.580355828211353,0.9481631616293218,0.5072808964287802,0.9622997186191178,0.4514204091101263,0.9422258194467342,0.7457235842843416,0.550085243722221,0.3498324621322553,0.615358552920756,0.9804703701714134,0.6253581272751407,0.03368232684957024,0.4849086120728076,0.9723353480273327,0.7527130321716392,0.5556895803653573,0.8705760487788892,0.7464370294320608,0.967908592174533,0.8730703653169049,0.7171278410930328,0.9305441816327981,0.49130397557313826,0.23553417410585198,0.08264634307938012,0.5355344557031213,0.33782396367678336,0.970129732686577,0.4781357821357396,0.9694832812370399,0.5645534699830234,0.2659926577883139,0.6932628429710234,0.5406127099590468,0.8503861912508008,0.9608931796285499,0.8658058592599229,0.7202336117782508,0.9365582089240068,0.804333636317855,0.5399419249630854,0.8649682503734989,0.7500165163755844,0.20394882463022218,0.4037304049077701,0.49260165141793977,0.42175626635189073,0.6004759949292395,0.8418000343350204,0.9666853209003188,0.49426348670554265,0.766339752333337,0.9397564400311441
