,Mainack Mondal,Sandeep Shukla,Vinay Ribeiro,Uday Reddy Bondhugula,Vinay P. Namboodiri,Anirban Dasgupta,Supratik Chakraborty,Gugan Thoppe | गुगन थोप्पे,Chester Rebeiro,Om P. Damani,Ajit Rajwade,Ashutosh Modi,Pallab Dasgupta,Suyash P. Awate,Bivas Mitra,Sayan Ranu,Shanmuganathan Raman,Raghavan Komondoor,Partha Talukdar,Ganesh Ramakrishnan,abhilash jindal,Pabitra Mitra,Parag Singla,V Krishna Nandivada,Saptarshi Ghosh,Sukhendu Das,Abhishek Bichhawat,Vijay Natarajan,Animesh Mukherjee,Bhargab B. Bhattacharya,Parag Chaudhuri,soumyajit dey,Chaya Ganesh,Arkaprava Basu,Naveen Garg,Bhavana Kanukurthi,Jayant Haritsa,Mayank Singh,Arnab Bhattacharya,Manindra Agrawal,Dr. Pushpak Bhattacharyya,Arindam Khan,Shirish Shevade,Nipun Batra,Ayon Chakraborty,Shweta Agrawal,Satrajit ghosh,Smruti R. Sarangi,Shalabh Bhatnagar,Surender Baswana,Siddharth Barman,Subhashish Banerjee,Kartik Nagar,Prashanth L.A.,KC Sivaramakrishnan,Devarajan Sridharan,Vinod Ganapathy,Mausam,Arpita Patra,Balaraman Ravindran,Shishir N. Y. Kolathaya,Purushottam Kar,Sourangshu Bhattacharya,Biswabandan Panda,Debdeep Mukhopadhyay,Chetan Arora,Rijurekha Sen,Sudeshna Kolay,palash dey,Shankara Narayanan Krishna,Anurag Mittal,Niloy Ganguly,Soumen Chakrabarti,Piyush Rai,Mitesh Khapra,Aritra Hazra,Nitin Saxena,Shivaram Kalyanakrishnan,Somak Aditya,Narasimha Murty M/ M. N. Murty/M. N. Narasimha Murthy,Krithi Ramamritham,Chandan Saha,Amey Karkare,Neeldhara Misra,Pawan Goyal,Abir Das
Mainack Mondal,1.0000000000000002,0.46826007946349324,0.5868880372464148,0.3666090552295097,0.1311876453933586,0.6011992535296949,0.7176127482260339,0.5233937977736207,0.9167357801459377,0.4734768095172005,0.6194369436601522,0.17172132900406573,0.6497446639836734,0.19946825440799043,0.5145165658570958,0.4216724870510282,0.04369634534791303,0.6064934495125577,0.3504952392480473,0.26810327896160263,0.5537894601708797,0.3889312574083828,0.2765955420290948,0.789993294442922,0.6643802766002407,0.14961867268924892,0.8833713507088305,0.828328028523293,0.5513485672374709,0.5224705154178001,0.3866382545193776,0.643733419033021,0.866001091727832,0.8264016777385438,0.5128770425953503,0.7040387470450045,0.3784681312632038,0.28082275074085694,0.6055878137043801,0.48094544061622474,0.21452365616280403,0.5612407022795014,0.15871464336578534,0.5199625275204689,0.5766122411320778,0.7342784560527854,0.678416270186746,0.6762053688384866,0.4011228595022186,0.7357203900746522,0.5750959912988646,0.7809850287269606,0.4847649907714506,0.3767850585001954,0.6860123113930022,0.4691760469215898,0.6934050976651999,0.4308850296402664,0.7589830779900826,0.2981999709528067,0.3399828537686374,0.399429741937526,0.4561390628607547,0.8391262643002123,0.7052788906702708,0.12382605574090395,0.2333177817912641,0.6936210027199369,0.6648068030668725,0.6307624932080383,0.10472053938018676,0.5719853355109938,0.4650939103919985,0.16642436650482473,0.26171410459628125,0.5208409528268887,0.5601408280025237,0.6942832236856763,0.2219100334670321,0.3892727951211407,0.37617907533119865,0.6096881732801376,0.7200141195364897,0.7449611822856914,0.3564950313831105,0.20477316528653433
Sandeep Shukla,0.46826007946349324,1.0,0.7048330926678401,0.8305962486498445,0.17008137052205372,0.7738922893678569,0.7341330584229682,0.44141204178589594,0.4700553825772207,0.8319217982223561,0.19870016452664765,0.11195778495256924,0.9023706668429792,0.31256734757540144,0.30055563428828,0.3522159301375457,0.09757327020197935,0.8754266511990423,0.5941324301403511,0.30155791175661417,0.7842838114302251,0.9093688586067384,0.3288831615510177,0.517132537186409,0.6614792494100498,0.3732885590554668,0.2737667249918418,0.7311818150902141,0.6530496178362049,0.9891070426417418,0.32983842630871646,0.047221750823810846,0.4186127650507164,0.35860262483842686,0.9544754585232441,0.8131724496973626,0.897149625566954,0.05505842107331605,0.9137908594980755,0.9836649714099479,0.7140808201102223,0.42746321387559766,0.382122333257454,0.3956688358570636,0.6542996601270364,0.35194916090504236,0.8798294167800057,0.5085678855416581,0.7918548178609927,0.8302031939200059,0.4785199257531674,0.7509233413709239,0.4473687665617255,0.4430780496332311,0.7079849788145494,0.4556061720832497,0.943255490485122,0.825109075208491,0.5523907984217102,0.6932273404604062,0.36096948373431387,0.5148841839473771,0.1880483981781993,0.2408306901526411,0.9294349045785496,0.07308037277972103,0.40634223178004647,0.5830697042892912,0.37927857041898844,0.6033521021818476,0.4084719983266778,0.9299463566041916,0.9823863695742426,0.3033829626891497,0.3409360479541779,0.2661558690896859,0.9264584831034678,0.8034613469287829,0.21847338127881788,0.8279297344667881,0.9828459672364933,0.8443727613640243,0.4536481280115812,0.5221626749338741,0.31934181734039363,0.521559705818028
Vinay Ribeiro,0.5868880372464148,0.7048330926678401,0.9999999999999999,0.6863740727467645,0.6140858477747401,0.811574458351692,0.8009453155854872,0.6169218628814113,0.7485851656157279,0.8748057304123814,0.4263886484900893,0.38773325069911135,0.7766409056927781,0.6265555762519796,0.729861279220351,0.7624332906622228,0.4191388827508265,0.6916729112927221,0.7100722452325877,0.5587765547718264,0.6930604810382884,0.8186612693663482,0.6799478589254174,0.593913673563289,0.8035958815214305,0.6813833493143521,0.3709677187624154,0.7311001151945093,0.793773598217015,0.7036900437953294,0.5943387578536289,0.5038865363669086,0.6944653709372579,0.5196105114704103,0.6861433270959164,0.8194969094796613,0.5598441629727113,0.4078826995195633,0.6958398222385552,0.6419584786035628,0.777753652546074,0.5658130045562058,0.7048780272986331,0.7404340590236962,0.9519806681555582,0.5725842255756769,0.6401273891037299,0.8238973635781112,0.7710507486491704,0.6914305079869676,0.6189365395618366,0.7636085752937055,0.3433401128081341,0.5870833054374289,0.5190322837412734,0.7532122138829692,0.7288289092022293,0.8297594853794353,0.8091433871083077,0.8446017252477549,0.604001124226098,0.7229521363124043,0.547727402098792,0.6633243296502304,0.7712326937580064,0.4954682221365309,0.7582972128015159,0.7695171328014108,0.732551413115273,0.6693457316758239,0.6916644642532505,0.7511955627946754,0.6855327682664114,0.6108760495917788,0.611948347122376,0.608230229316527,0.68129126742873,0.8492826754826448,0.433819138375977,0.8680683341243702,0.5880644825481077,0.7847625571322483,0.7910530753375006,0.701605313436896,0.6420526292926256,0.7452548519810409
Uday Reddy Bondhugula,0.3666090552295097,0.8305962486498445,0.6863740727467645,0.9999999999999999,0.44350470340360176,0.8870130122621914,0.8119821833330804,0.7143738109365256,0.4597379971232697,0.8662496490156413,0.5087819697865863,0.5053536190322536,0.8269936596261053,0.5246066317348934,0.573235751809843,0.5843028772605517,0.29750366867446965,0.7421092912117729,0.7776392907785764,0.6714294885813297,0.7634520689437869,0.8371929567873378,0.6078476609290285,0.6576486380556522,0.7694381104490409,0.5335682698877633,0.31652829816648703,0.7077998411495736,0.8278574123478304,0.8071826665418308,0.7192192893162689,0.19859177050568916,0.48459447023280455,0.42680920446172244,0.9202737189500889,0.8390461692619772,0.6895478688940991,0.36253401000005886,0.710535268862237,0.7826831867003082,0.7829094940187307,0.7403364085348,0.6152955335110433,0.6381728795669062,0.6313501373374961,0.3521869985570041,0.6045534042527496,0.6108197365173046,0.9018332799850104,0.8012836383156003,0.7582136252800109,0.72650618388301,0.4338446006938894,0.7633746986618487,0.6703404451546019,0.636990747376109,0.7487258558194447,0.9193922375602519,0.48213102161200705,0.7665224585825761,0.6211374789856166,0.7445922956699831,0.4993128228629377,0.36165237347263035,0.7373414560295636,0.29889143966590126,0.46739965817437357,0.7414017928015051,0.6029866863430995,0.8230292464437949,0.5729368946978267,0.9052384898764283,0.7811915960374501,0.5916451412736017,0.6505675904773367,0.6095936597171113,0.8833282137102064,0.8653001245795082,0.5205653453622336,0.7980693969768035,0.7574508537907169,0.9227182248103523,0.5979509958250325,0.6777056916876415,0.6526797580186379,0.6516289606071026
Vinay P. Namboodiri,0.1311876453933586,0.17008137052205372,0.6140858477747401,0.44350470340360176,1.0000000000000002,0.5886296717209673,0.4883084381422094,0.6372884666376879,0.3049918631724875,0.6413412113873596,0.5542549870270927,0.6660725345348973,0.2735532046315782,0.9581377775186006,0.8560731606780753,0.8704900351579048,0.8662456479250106,0.16379237022183596,0.7181119710761773,0.8730038393649785,0.19904799156266667,0.5385836377401784,0.9490190808486616,0.4109278553199377,0.5815408286518599,0.8828375398620701,0.08696924053671533,0.3447473124788787,0.6927184960412824,0.13312577775080983,0.7998774154955858,0.5188596073229716,0.35078947753410555,0.2527325694769507,0.21634784427732037,0.4062003462271072,-0.013134843982340504,0.5841469310543222,0.12345038838627605,0.052544404907100245,0.7060508590682615,0.510110830193974,0.9115682686749972,0.8670857384173878,0.59832239728219,0.3002205878510167,-0.03861448375045557,0.6624368276033576,0.5893191237910728,0.2610990107984825,0.5269984716505266,0.31099716654810194,0.06080578458771279,0.6530102898876184,0.07470582178450627,0.8702308894943849,0.12628747946571933,0.6372474258154865,0.49684333143220444,0.8088044448974456,0.7711967939083493,0.8068894311162738,0.7925638038488352,0.49304751499132465,0.16693706538024533,0.9284862763988596,0.84869038609319,0.5688834972587805,0.6427264166402947,0.49366461253960653,0.8821193679773006,0.3279101175053781,0.1399845116087924,0.9103435969223405,0.8354671210348915,0.6808839512149241,0.17572804273217596,0.5335089341613898,0.7925995033394422,0.6188942994374025,0.03039191214883772,0.45383642407990843,0.6132246947175003,0.4827294112307725,0.7569916156591495,0.8941215390323938
Anirban Dasgupta,0.6011992535296949,0.7738922893678569,0.811574458351692,0.8870130122621914,0.5886296717209673,1.0000000000000002,0.9182561110519062,0.8549660288984939,0.6371227629919356,0.9021875406655933,0.6770906119784973,0.5338564623392589,0.8184200267291419,0.6816220491154286,0.8001447703396075,0.8154474489262445,0.40105534119277453,0.7258435676051295,0.8374328706033436,0.7760949640083519,0.6998241024400298,0.8561477822144727,0.767863880640436,0.8486328045949852,0.9067944257735092,0.6215185949111125,0.5148389275773555,0.8826880685901108,0.9306702154904812,0.7550878224132662,0.8131434137817656,0.4531129862337235,0.6561200625578042,0.6276787740010803,0.8632584727790448,0.8913105887450242,0.6587300572664486,0.46450396446792297,0.7789022661822282,0.7175573268595309,0.7965294938147894,0.8360034136725069,0.7229457940744075,0.8494589703442171,0.7730962373780015,0.4770938722838181,0.6123894959052657,0.7947887869757085,0.9265258114000401,0.9094371735875558,0.8467121245373636,0.8088741347754266,0.5829140499798178,0.8281787971093965,0.7330180844507563,0.8491729955281988,0.7597026185283036,0.9381493935341855,0.6703349539796504,0.8390922657799975,0.7425308784056119,0.8907296895546452,0.739708992898372,0.6391118289165777,0.7553392693503492,0.45111114033345545,0.6181182051526669,0.8826790931942542,0.7905482277842496,0.8952157598100607,0.6284638803836989,0.9061102602660972,0.7518518830440564,0.7166231026473814,0.7333162239951767,0.7089797052159236,0.8094532740284417,0.9644532057275774,0.5949788388721471,0.8727210206033819,0.6685103911156007,0.9492286496798606,0.778239332056379,0.8269175350453505,0.7496604577526816,0.7462264749419195
Supratik Chakraborty,0.7176127482260339,0.7341330584229682,0.8009453155854872,0.8119821833330804,0.4883084381422094,0.9182561110519062,1.0,0.8240439885486374,0.7780999606233447,0.8327612014282424,0.7110431539674378,0.4408051694130543,0.907748449772163,0.537825222350708,0.7520482555735247,0.7155773517385735,0.3327700115866533,0.815494930144604,0.7019031021021348,0.6197107947397089,0.862285342914629,0.7579439918361739,0.6296910380327946,0.8813983231117952,0.9027593645317346,0.5277014852697405,0.5806296622911079,0.9135726966550138,0.8788801442835533,0.7643943711189547,0.7403276884673133,0.6016601738220813,0.7519671912167456,0.7700697531361826,0.8281347564846198,0.9030856889583619,0.5989343552544372,0.43525339727178375,0.765808070574511,0.7170597031139951,0.6504709807611552,0.8234360013086522,0.564385093647307,0.7793310148949153,0.8317414397555134,0.5050787734755361,0.6217679480579326,0.8798475776668516,0.8468895688437953,0.8969206658116173,0.8645152508466473,0.9322673309448496,0.6030062072746005,0.7657537875837724,0.8043513861538515,0.7622706651696104,0.7982662326321291,0.8395447337883916,0.6852425223358234,0.7476530349072903,0.7471151026362783,0.7455286904498648,0.6600798500155893,0.7633949899794686,0.7583926678485423,0.3897637761342889,0.5303785335485949,0.9558531288295495,0.887015751978369,0.9346516782007744,0.5208168749628745,0.859049303501369,0.7108871523343432,0.5436486371859803,0.6122859146104915,0.7573410030096368,0.8456990927862125,0.9749498488495186,0.48864045584425897,0.7493170893088668,0.6205126289302466,0.951400388763543,0.8601984833201657,0.9367928457623778,0.6770445755742777,0.6059410809319631
Gugan Thoppe | गुगन थोप्पे,0.5233937977736207,0.44141204178589594,0.6169218628814113,0.7143738109365256,0.6372884666376879,0.8549660288984939,0.8240439885486374,0.9999999999999999,0.6111962702998563,0.6907426098711867,0.7614453810339039,0.5515295113260087,0.6089633842977938,0.6810281227257149,0.8675554956313878,0.827850421048909,0.4361469727297508,0.4473162112823864,0.6784930907817055,0.8175255164193371,0.5242333766094291,0.5676112007819554,0.7686292811863417,0.8143643989581079,0.7563765005137992,0.5259627645425524,0.5678016310521373,0.6793255664246435,0.8169758212610773,0.42514277027734976,0.9161811576740064,0.6031961484107544,0.7182548049766977,0.5677834579726738,0.6199718939855514,0.7931724331783324,0.2884629822713512,0.46062257017857927,0.4283754313316874,0.370748302659928,0.5798171003222435,0.9490646241821157,0.6795526706773003,0.8494171396063359,0.5920498125628276,0.52341775985873,0.28500479035207016,0.714779759999214,0.8346244275719172,0.688118479189516,0.9504014653398302,0.6589353655409076,0.6221475750236882,0.9555772049424198,0.6079548109206494,0.8099606836243823,0.448365719000036,0.7193395948692676,0.6394426042116146,0.6805055016960874,0.8537233785595101,0.8600932704179174,0.8705493559813348,0.7055300916116719,0.4627001563466026,0.49858559518990303,0.5531800644746068,0.8815294057624381,0.8630805957417734,0.9027844575210577,0.5091206053685893,0.6171744467843407,0.3747815810479658,0.763785787881058,0.6858605464633482,0.8978631232548626,0.5643173838488077,0.8157781750390348,0.5326988557273096,0.6135352287628328,0.297775295530311,0.8249752258695475,0.7253652265335847,0.8439293542999965,0.7336266859898886,0.6221700618967205
Chester Rebeiro,0.9167357801459377,0.4700553825772207,0.7485851656157279,0.4597379971232697,0.3049918631724875,0.6371227629919356,0.7780999606233447,0.6111962702998563,1.0,0.5853979369797818,0.6328868222764701,0.27000295122318413,0.6988308073602588,0.30201278698025347,0.6233174585146891,0.5293575915666523,0.18411175650991335,0.6451305740674805,0.4145156721051512,0.35486274637651916,0.6433946776583891,0.4424029785268353,0.3886764783066697,0.7454227473689797,0.7184340335761054,0.30882037294709314,0.7583694161962599,0.7742955638403003,0.6284922792882581,0.5245336638387201,0.5046577463017409,0.6600984254538707,0.9533164509727063,0.7963059208127308,0.5306458341831358,0.7935510944925515,0.3388578383967631,0.37454091880093976,0.5573839036813473,0.4677858516446739,0.32154497088481476,0.6395421712523677,0.29795301183823786,0.5954703175699874,0.7170458615911154,0.787135122943379,0.6263303548964891,0.7896550737645125,0.48562309101233836,0.6801017716720884,0.6842255606760472,0.8470430422272788,0.47222383077268054,0.4839610056186566,0.6244679873093598,0.5243196785548204,0.6639105680896144,0.5106939845840172,0.8452482808442351,0.42806280723742157,0.42773842672938156,0.4573204185214777,0.4910172656159164,0.9017241508595497,0.7049599340194332,0.2633602817576102,0.3685148674915017,0.8065412715380244,0.8031205119154816,0.7132134797250027,0.27949390391358053,0.5683777103445791,0.4425485455871511,0.2783704892247029,0.37027532732730717,0.694044895553329,0.6022239073966646,0.7524571774272982,0.2791878088269663,0.4495758702047176,0.3398327529232071,0.684894524404507,0.8289537811396124,0.8371971047389137,0.482271844275417,0.32108753950703883
Om P. Damani,0.4734768095172005,0.8319217982223561,0.8748057304123814,0.8662496490156413,0.6413412113873596,0.9021875406655933,0.8327612014282424,0.6907426098711867,0.5853979369797818,0.9999999999999999,0.5177380005476429,0.402548653235779,0.8224596852098519,0.7207543338529192,0.6910287437528067,0.7135070712067457,0.5853493073066746,0.777257225916789,0.7633703728245211,0.6789614357997971,0.7157560618827223,0.9434555928000722,0.7221969772216119,0.6458284220095911,0.8003079751900185,0.797526027484527,0.2844222073535806,0.762589938551039,0.8280891212154353,0.8158885533128566,0.6983783591348589,0.3064973899343878,0.5672612240683392,0.4401229922611191,0.8461758702861881,0.859101620669858,0.6576081178599029,0.32773199599410063,0.7776933506804365,0.7702298229651555,0.8349457210499139,0.6469157478688597,0.7018850610131808,0.7528683730254602,0.8319567502217108,0.44546097026449744,0.6601990890768543,0.7901994025229746,0.8924184801968037,0.7967177045460987,0.6895364005265958,0.7675738759582723,0.4221792139489202,0.6905783933613592,0.5893342838533863,0.7717929346677419,0.7873944002050716,0.9346332239572971,0.6782812942207613,0.9372645095522665,0.6701455136046954,0.7791836426302449,0.5469642097656245,0.4985093323064365,0.7883444774608287,0.5854271653064037,0.6830207631681597,0.7810908023307906,0.6761467003927529,0.7525740999286423,0.811744184341816,0.8602246540866652,0.7957221310723326,0.6656219880722326,0.659770846175823,0.5881009806332869,0.8188067368813561,0.8962555284174676,0.5750063342831399,0.9140968909611527,0.7404519487484642,0.8938230093682689,0.6879684423734327,0.7034142970352106,0.6201249787196432,0.8596949341905737
