,Ayon Chakraborty,Shishir N. Y. Kolathaya,Surender Baswana,Neeldhara Misra,Mayank Singh,Chandan Saha,Rijurekha Sen,Gugan Thoppe | गुगन थोप्पे,Narasimha Murty M/ M. N. Murty/M. N. Narasimha Murthy,Vinay P. Namboodiri,Anirban Dasgupta,Arkaprava Basu,Chester Rebeiro,Purushottam Kar,Sukhendu Das,Uday Reddy Bondhugula,Subhashish Banerjee,Piyush Rai,Mitesh Khapra,Shalabh Bhatnagar,Prashanth L.A.,Shanmuganathan Raman,Abhishek Bichhawat,Vinay Ribeiro,Vijay Natarajan,Vinod Ganapathy,Shirish Shevade,Smruti R. Sarangi,Partha Talukdar,Nipun Batra,Arindam Khan,Nitin Saxena,KC Sivaramakrishnan,Raghavan Komondoor,Shweta Agrawal,V Krishna Nandivada,Naveen Garg,Arpita Patra,Arnab Bhattacharya,Jayant Haritsa,Bhavana Kanukurthi,Kartik Nagar,Devarajan Sridharan,Balaraman Ravindran,Siddharth Barman,Chaya Ganesh,Anurag Mittal
Ayon Chakraborty,0.9999999999999999,0.7224641863261908,-0.09621368243089226,-0.00559567389751848,0.013835802427529714,0.13179800380886003,0.7460621824680735,0.5180961506117109,0.6174663801087328,0.6737495270718291,0.36402323270007914,-0.31585416464355515,0.5702366182689003,0.6019737167053291,0.7913804805496888,0.10214358725444785,0.5112627476280002,0.6870085113816881,0.2825104419853086,0.5019628622471469,0.24085110919566372,0.774509627544824,0.2590072771206578,0.7986097718116643,0.21255470947803723,0.5436776291638716,0.5650309447554309,0.7705409614065156,0.21351076973385927,0.6599678859847359,-0.13794117134186737,0.09348401530994747,-0.32096032219059134,0.3424467087143338,0.6187042867271092,-0.2910816029676635,-0.09926510496418936,0.5883243104459069,-0.12350309104659905,-0.2780829028296776,0.5296993494810933,-0.3055849445046291,0.7152687992364491,0.7456525347430673,0.002185420701521811,0.49430297431961995,0.7417330389227555
Shishir N. Y. Kolathaya,0.7224641863261908,0.9999999999999999,-0.022507572002451855,0.07574826227948445,0.009666804106834763,0.2413509844086027,0.6998657515588503,0.4216286607672352,0.629726521796756,0.6254731758708882,0.3985068091664599,-0.37987433166364015,0.028403979610659894,0.5967469394718197,0.6601081319359983,0.14953800418836707,-0.0570014786029859,0.668783310552928,0.28405401561379395,0.7070250062676335,0.409638881552046,0.6769454418833977,-0.0804678752049884,0.41201498631256683,0.05362214650910563,0.1406264687834557,0.56109374043625,0.48477811589872394,0.25133253523242305,0.626067179498992,-0.05174414880938061,0.03867362177285354,-0.19635301906936725,0.05156482903047134,0.07677042811358266,-0.22847949614550825,-0.0916269913114497,0.05963478850162196,-0.1451981566470218,-0.33645527872049863,0.04331584251473486,-0.37363587482510585,0.6930168527512917,0.7975902666609289,0.0842981910769694,-0.07768048701176891,0.6340792858674152
Surender Baswana,-0.09621368243089226,-0.022507572002451855,1.0000000000000004,0.6963580225757173,-0.12517806772141474,0.6410911475122385,-0.1798383072521205,0.3799792633702502,0.1779558521286811,-0.15461597583544878,0.7115498822062342,0.06476195375494441,0.24043665430888267,0.18882610994332813,-0.08936235367840893,0.4441120388732969,0.036592577547278314,-0.0017864808950615787,-0.11061616135888336,0.3746603889743432,0.6265852414508195,-0.12791474791508417,0.2378625930179572,-0.18351291041610296,0.6110401590521257,-0.11225881624529295,-0.1308896154350139,0.2829002271616076,-0.01311339372617387,0.25657596941954075,0.707017696889955,0.6778309069647043,0.09643315705363756,0.13164007392500218,-0.060502231445394565,0.30275840040902724,0.6373471858055675,0.007692222729370019,0.49237796848893667,0.3018062810133711,-0.23745857845702356,0.07087479623525375,0.07936914615223943,0.04187671452085398,0.6791679965040752,-0.1170359112192914,-0.17248363710697984
Neeldhara Misra,-0.00559567389751848,0.07574826227948445,0.6963580225757173,1.0000000000000002,-0.20760019045739386,0.9708634441473301,-0.1668105613013155,0.6534274968076108,0.014534721325017234,-0.1859815533906319,0.5526208666722605,-0.2544181803803878,0.3060489968046075,0.05771211567271487,-0.08044795646710531,0.7489371194107802,-0.03630775773552478,-0.08944787077566115,-0.18537210309830435,0.5990486098765332,0.9176423844625772,-0.08487780988416549,-0.0387346592926373,-0.15938187888122754,0.039444288534491695,-0.35366919610715347,-0.12804803009055446,0.17435847786446196,-0.16660262133657028,0.03601710089116776,0.951264086399916,0.9582664358032881,-0.008592550726109984,-0.2662686956627661,0.04599971425502966,0.12894525284443556,0.9595433642671516,0.19086021499831532,-0.047200970459446406,-0.08574899387941365,0.06899739132968714,-0.0019235973241074607,-0.13549966849300613,0.06281256051610652,0.9946244615935579,-0.03421645380530059,-0.18405711481871187
Mayank Singh,0.013835802427529714,0.009666804106834763,-0.12517806772141474,-0.20760019045739386,0.9999999999999993,-0.14222484075595576,0.29107845497783946,-0.0979186498639507,0.2975073998296504,0.6111532877863297,0.2662859520102701,0.6893564292141853,-0.21506800935601594,0.39710174212278826,0.22100575455726384,0.39078347977827754,0.19983318381362225,0.39186796629022785,0.9363901255945616,-0.012220645079293194,-0.1257018747563085,0.1954395281542513,0.03724579340914203,0.12098437144917712,0.06719314162218344,0.08091388555219177,0.5967933548455782,0.22781842129498697,0.9207901866150205,0.3905952157700282,-0.19748098447636145,-0.1415316143685842,0.26139718559208486,0.013948582230806628,-0.07824306882746819,0.11877929350616845,-0.1394096193997907,-0.10441889464445865,-0.0643393598612544,0.04507070475612943,0.09336252234917461,-0.14173672158427583,0.3056254500867329,0.31436871912763764,-0.21787759246759783,-0.1415381750540435,0.3975488054550853
Chandan Saha,0.13179800380886003,0.2413509844086027,0.6410911475122385,0.9708634441473301,-0.14222484075595576,0.9999999999999998,0.04238295526730294,0.7146144892966817,0.20543403763649443,0.011253141440271869,0.6389431665593891,-0.31689329407259015,0.25498945435791953,0.24702380952380945,0.06685406580320771,0.802377419802878,-0.07370397645906004,0.12083404182471716,-0.04914448460443608,0.7510466508870993,0.9755576472386346,0.07053537387924068,-0.130801270978343,-0.009082281268746656,-0.011036910370895102,-0.37405573845785467,0.08750619572636051,0.24606807458731114,-0.03962908752991243,0.20524130037529578,0.8884548646137695,0.9029603442226118,-0.11706368533500446,-0.29146188326172906,0.051541752498219275,0.038420226378229144,0.9116097016507416,0.18812807974102064,-0.09195620984470756,-0.11817062277809491,0.0921734839760378,-0.10857109293374195,0.025673708261710143,0.2764477554124962,0.9762326886307753,-0.07621384510621156,-0.02115304510695042
Rijurekha Sen,0.7460621824680735,0.6998657515588503,-0.1798383072521205,-0.1668105613013155,0.29107845497783946,0.04238295526730294,1.0000000000000004,0.4966164754233709,0.9182767848623115,0.8594614880694242,0.49705693210849017,-0.16545656410251386,0.10530098775180931,0.8957183492652326,0.6671930448726039,0.13084694598060545,0.12484527858767,0.9619595688217888,0.580094738800413,0.6363752422458696,0.19863161859506753,0.7130851614963619,-0.04965382619453803,0.8188654880414568,0.10335654687290101,0.3460933229536369,0.896818315426479,0.648931138905339,0.58661920788379,0.8632309132901305,-0.21202164209032504,-0.21279607131793965,-0.10700997338804083,0.2852372870857488,0.2499250651601142,-0.030437857295030617,-0.2812717576297081,0.24278967442458244,0.02124819376348281,-0.09798781527148337,0.3803285534894446,-0.15079991581717217,0.7957874934523049,0.9366791839766281,-0.1368612893352062,0.08218292784563089,0.7065748508308483
Gugan Thoppe | गुगन थोप्पे,0.5180961506117109,0.4216286607672352,0.3799792633702502,0.6534274968076108,-0.0979186498639507,0.7146144892966817,0.4966164754233709,1.0000000000000004,0.5349568784384569,0.2662486852289338,0.699681408237855,-0.3310011374422267,0.5562479581430214,0.5379757574498516,0.27529275315342966,0.5327656949488075,0.2181247907265516,0.45431722002797886,0.06858653167207401,0.8132312762650318,0.7810605940043505,0.3229978995648317,0.15396125565047142,0.4888243121171479,0.18622582003732846,0.21785824302120768,0.3221282366720592,0.6915375351283575,0.11548142997947546,0.5134335635765218,0.6773446039382296,0.6267831705280088,0.20575165574635007,0.20892772350933625,0.37984536746926734,0.3405026123034995,0.5425954715889633,0.5238433695310536,0.08404377528635637,-0.0960022677748992,0.5616156927828215,0.22899004493201472,0.3206828200578625,0.5386058735506196,0.6637768480438537,0.26314478695833166,0.1861688300591837
Narasimha Murty M/ M. N. Murty/M. N. Narasimha Murthy,0.6174663801087328,0.629726521796756,0.1779558521286811,0.014534721325017234,0.2975073998296504,0.20543403763649443,0.9182767848623115,0.5349568784384569,0.9999999999999998,0.8086802222312692,0.7449179353913283,-0.0496000956114298,0.07515008176707628,0.9763199969561482,0.596283306649902,0.2526195511647149,0.06388164806930437,0.9721986943780699,0.5808094395563116,0.7076791282102333,0.35495618369966553,0.6308991357013989,-0.013626170854947998,0.6891285627061864,0.3635382535258275,0.27445069808020117,0.8706044524703266,0.6900923287821471,0.6389959429860914,0.9707058823268587,-0.0182841731326195,-0.05508985938546764,-0.05978707948748894,0.31339303293058524,0.1185277930752222,0.11847139346578266,-0.13072349302707165,0.12793120399827457,0.21177085578522528,-0.004946036339132058,0.18276066219139384,-0.16391308416442388,0.8313209764651409,0.9319372299497907,0.03155633257234743,-0.06591588584419224,0.6204843810067626
Vinay P. Namboodiri,0.6737495270718291,0.6254731758708882,-0.15461597583544878,-0.1859815533906319,0.6111532877863297,0.011253141440271869,0.8594614880694242,0.2662486852289338,0.8086802222312692,1.0000000000000002,0.5160696419042514,0.06743755089989696,-0.035253026575342634,0.8040254731100384,0.8248124488171473,0.30897951837613324,0.14258931252406512,0.9128251913164671,0.8417820291272985,0.4634579437433846,0.11439031517624555,0.8285678795124771,-0.14167757975576897,0.6126119491309217,0.1395160830159662,0.22634726335212402,0.9346747407262508,0.5630900292436152,0.7887778098204674,0.8395711765099305,-0.26860318761197677,-0.15329908667023953,-0.18116240608190334,0.2589712726273949,0.08974241373774443,-0.1314394803590777,-0.2606021318933176,0.05130755052256161,-0.014368884872776967,-0.12084378293878054,0.18153574130459119,-0.3354955639588879,0.8768951112489,0.9012339031040137,-0.16967705153953808,-0.07454161810189651,0.9054157319615364
