,Subhashish Banerjee,Chester Rebeiro,Shweta Agrawal,Smruti R. Sarangi,Jayant Haritsa,Shirish Shevade,Surender Baswana,Uday Reddy Bondhugula,Rijurekha Sen,Ganesh Ramakrishnan,Gugan Thoppe | गुगन थोप्पे,Chetan Arora,Krithi Ramamritham,Parag Singla,Siddharth Barman,Arkaprava Basu,Vinay P. Namboodiri,V Krishna Nandivada,Shankara Narayanan Krishna,Ayon Chakraborty,Bhavana Kanukurthi,Nitin Saxena,Pulkit Agrawal,Alex Aiken,Arpita Patra,Shivaram Kalyanakrishnan,Prashanth L.A.,Abhishek Bichhawat,Sara Achour,Sukhendu Das,Nima Anari,Anirban Dasgupta,Shishir N. Y. Kolathaya,Phillip Isola,Naveen Garg,Mausam,Narasimha Murty M/ M. N. Murty/M. N. Narasimha Murthy,Partha Talukdar,Raghavan Komondoor,Sayan Ranu,Piyush Rai,Biswabandan Panda,Chandan Saha,Vinod Ganapathy,Ajit Rajwade,Chaya Ganesh,Mitesh Khapra,Clark Barrett,Soumen Chakrabarti,Supratik Chakraborty,Arindam Khan,Mayank Singh,Neeldhara Misra,KC Sivaramakrishnan,Om P. Damani,Shalabh Bhatnagar,Purushottam Kar,Arnab Bhattacharya,Maneesh Agrawala,Shanmuganathan Raman,Devarajan Sridharan,Parag Chaudhuri,Nipun Batra,Suyash P. Awate,Kartik Nagar,Anurag Mittal,Vijay Natarajan,Balaraman Ravindran,Vinay Ribeiro,abhilash jindal
Subhashish Banerjee,1.0,0.4196162080215796,0.3338204644953981,0.7566785429158744,0.09771190689177697,0.14786994391552563,0.17917969997753014,0.2172579487957264,0.346294357776133,0.2595289895398068,0.21770399564500248,0.29761382721086793,0.613538285265174,0.2192003661649109,0.06034483522285739,0.799093640399976,0.2539656402374288,0.15536867834249943,0.24013503928396243,0.383126424096753,0.22779967854180422,0.14335033334307953,0.36818192435954494,0.5170118318030994,0.36302475445237214,0.19716451004249336,0.1337947042986725,0.5051477014962592,0.954307669524933,0.18444919997016937,0.2376802333025286,0.12566984093193273,0.8308060439217911,0.18194090190692133,0.07170417746073854,0.29327243849769336,0.12617464627382574,0.24197877657663808,0.17299063325372424,0.273508513876088,0.0934409032563639,0.6956894291075423,0.0535068205005168,0.934079386027205,0.23824186535982894,0.5935384535494255,0.19830448140784737,0.48446814956922324,0.4751812062213954,0.5511035243298,0.05742728549251625,0.3285482118344313,0.07143767262104171,0.728224930858336,0.8393820151903999,0.4096814012621034,0.16791710408428573,0.14800258788615644,0.6081727421595026,0.14046489235776297,0.2349160567506139,0.5813318705114529,0.28609663557326465,0.1496858908110048,0.20527447061977327,0.14075296628674727,0.19205863488847472,0.20628077550086674,0.7993350589598089,0.8415724884555129
Chester Rebeiro,0.4196162080215796,1.0,0.9476207046892736,0.6317047719986119,0.2712167212537706,0.31304017560665426,0.4838225503647878,0.5103051598765813,0.3865807719497376,0.4412886570250482,0.7846434836191857,0.43097869431745744,0.5718381045296362,0.4065723492030993,0.4534744082748045,0.3406370947834015,0.3611765171893099,0.38067019093223226,0.47570665068014467,0.5174050928373308,0.86680702446641,0.45744149992310273,0.36480862243685147,0.5326224653193892,0.9519949188120459,0.6328966409270225,0.509700496248239,0.8990300440963658,0.24152679747258543,0.38585154704948993,0.49846694897319765,0.5310294707646779,0.38385362321072186,0.34789491495289404,0.48477224219542764,0.40217344373935454,0.3458336278002985,0.33323535575685853,0.46793795705957236,0.4450429291133041,0.3022042370826205,0.6928019449301306,0.4263811080008525,0.6166836613636375,0.5372558156292908,0.8930518660207925,0.2925209855427484,0.596932557056717,0.48324753801704423,0.49598948249955743,0.41915794211057145,0.24295345026463333,0.4545587244887676,0.4037803056668908,0.4415908125641948,0.5032118369265294,0.4429781964094321,0.3624769789224651,0.4000849417083319,0.36302886370029125,0.4210852542678459,0.47184142996695516,0.4740740454067882,0.43548654154495686,0.4546527423922122,0.34849088832984415,0.5018392526268138,0.3818043480853037,0.5314905047675561,0.4577986792174023
Shweta Agrawal,0.3338204644953981,0.9476207046892736,1.0,0.49375910848536125,0.22357803365204784,0.359563717662125,0.3144093462166637,0.4094350950965798,0.4121531302319152,0.4064991395138366,0.7505997694105612,0.34860355549575145,0.40693156486414017,0.38498108378401824,0.34065920315962106,0.23310228150781442,0.3746415385609735,0.16258246325134543,0.3177631710296041,0.4650899454811242,0.9545872981007597,0.3186384410003694,0.3556376424817005,0.3965058792815386,0.9910260576608495,0.5735896294595346,0.41896861936124163,0.8307677539427231,0.13348785486276024,0.3168766464655866,0.3310323635177984,0.42206495589868676,0.3208739911324088,0.32050200693322733,0.37236549587103646,0.3871659533512224,0.3556825307693781,0.3210621638096665,0.28957471526956813,0.4177200713253589,0.3398697057585515,0.5733980056634077,0.3211609944524709,0.5288574762634736,0.3260056815184041,0.9263865727937459,0.28573874323208515,0.5579628090976984,0.43600936537957036,0.3336582210099045,0.286522560328069,0.21639709901637413,0.3267212343337498,0.21171858052560627,0.3421671632486545,0.43689184386245256,0.4302597381157683,0.21796481345071203,0.25395751371466774,0.28529386698062564,0.36157534950976616,0.35235011392200427,0.40664749424127933,0.3040047440864317,0.31057938572077476,0.32779139516726613,0.3189846938411596,0.39980403644691226,0.527963114321577,0.31492570687062044
Smruti R. Sarangi,0.7566785429158744,0.6317047719986119,0.49375910848536125,0.9999999999999999,0.36353170224566217,0.5897494355505519,0.5460762296954027,0.6366410890915248,0.721427296318415,0.7511410791521307,0.6652577821552291,0.6443967345478647,0.9545065065857837,0.7294290523818174,0.3316308938161032,0.7464390173426834,0.6661527286141029,0.4813071897102851,0.5033233678684473,0.689291158030929,0.3513620173170075,0.36759059827447166,0.7378330860041891,0.9067931015179956,0.4772197404601212,0.7119637448339561,0.4720417129354541,0.6596836877790032,0.7457350797033482,0.5484532523537726,0.5251767199783101,0.669151637049109,0.863373296324102,0.623794971699946,0.3141351142267436,0.7335837153846159,0.6492530621091852,0.6663461182128564,0.6632619588123334,0.7631650502481049,0.5726288483536679,0.917314196578296,0.3615718076141182,0.8314933102956733,0.6741801649475048,0.5368537227737705,0.6042750136640237,0.7969046899008301,0.8487342266548406,0.7013071211500376,0.32893997005323666,0.5623407751425233,0.3321175839318453,0.809893569671257,0.8100209253355249,0.7463437672007106,0.709603774736256,0.5797803824953373,0.7853595367468579,0.521814220445554,0.6909736930727656,0.8702559085077668,0.8078888812269334,0.6479903388948991,0.41086426362502687,0.541404962299213,0.6243498448563763,0.6642138820037974,0.8583896738429694,0.898249157460732
Jayant Haritsa,0.09771190689177697,0.2712167212537706,0.22357803365204784,0.36353170224566217,1.0,0.23655664317958922,0.49459719403727803,0.29769759264871365,0.22460943240532244,0.37625508060570617,0.25435711838282954,0.2194333403624002,0.41021143777461255,0.3222662471389406,0.1458510265425304,0.2604720263406126,0.26052340387162803,0.31947260138417144,0.19754543216716877,0.20104462386617492,0.13717199214784523,0.11072456023995371,0.20344412684701405,0.3775966366151699,0.17525088004781755,0.38447372118882184,0.14066431212818706,0.3545289366817126,0.20312196205112001,0.193066792523894,0.17502089210044514,0.48250935802241746,0.13354305855077034,0.2292208521348437,0.1779943367781773,0.33395328655447154,0.3059377849870488,0.32822924119903263,0.40151994205786196,0.5016779585309611,0.2151897314541408,0.3693732177933605,0.11113797972536957,0.2008554785969325,0.3484633147254937,0.18010189851072858,0.32064337403981336,0.2913559550952224,0.47531174754064376,0.17917797663215837,0.1898649417578615,0.26757941583283484,0.11771168780997045,0.31922480595702346,0.12433366771640904,0.23406343361703727,0.33233053046658534,0.8207241472279866,0.30853540784972194,0.17900928320936443,0.23857372095054297,0.25527170704426366,0.35598828066235616,0.3165241100109674,0.7140887033453529,0.23557064987087784,0.43671372864893876,0.23641349759331218,0.25362030508650435,0.2025501097597196
Shirish Shevade,0.14786994391552563,0.31304017560665426,0.359563717662125,0.5897494355505519,0.23655664317958922,1.0,0.14852940819421417,0.6211202624337274,0.9388884880414538,0.9292403922103776,0.6975940630796607,0.744581566889016,0.5220833771282235,0.9489805556625225,0.1406026076429992,0.2333958586697289,0.9669926344471909,0.16774118102007324,0.19694929385894663,0.768870258939741,0.3520607083148746,0.08458942046935582,0.9255394236454959,0.7088891704324167,0.295342387314193,0.7082002831303191,0.36534637758611077,0.1825659042483213,0.11989761275418555,0.7367997318608677,0.1970381838673871,0.6349939175336448,0.6004491795209866,0.8998789080599404,0.08373680483602307,0.9542555978523042,0.9357692828167249,0.9062806717548514,0.526343322419742,0.863645393391278,0.9674025330434832,0.47144818230099517,0.2340973014849274,0.23518372360621928,0.4075808020985088,0.18827341462111757,0.859392095334419,0.8374766889322062,0.8661272326992447,0.206494305202346,0.08414568766138326,0.6720194747384849,0.09135581004790948,0.21751638307361454,0.4694085522974509,0.6732212289658528,0.9122108108038378,0.3603608099638971,0.4954053840959046,0.7331669005857783,0.8795815944644769,0.6809747369893749,0.8662417121014616,0.7103439711230697,0.08344392607696266,0.8507794157333995,0.27172077479060475,0.9565767861505806,0.6621543582573544,0.3586604170657366
Surender Baswana,0.17917969997753014,0.4838225503647878,0.3144093462166637,0.5460762296954027,0.49459719403727803,0.14852940819421417,1.0,0.752308108581756,0.13820904609672932,0.3809825074343381,0.5225332785339541,0.17450070584833294,0.69177657851769,0.36663588118476104,0.8197265260410609,0.289714194687493,0.14185692707354405,0.44159357678850125,0.8580409039165364,0.156558938368579,0.07302681917675428,0.8267197595961793,0.20681211279269276,0.5462037208035097,0.2852826669910883,0.7585888055277673,0.7882011327105884,0.5136394311262089,0.24302750129891038,0.15369305124362292,0.8578870158277813,0.8280705963475249,0.22855000372543194,0.1466627038155321,0.8232002524929086,0.26937614860551873,0.28310970600391516,0.2676910437827828,0.3538454814212971,0.5332514825923546,0.1445304496087159,0.4113132107940898,0.8000286275229926,0.2264717819194432,0.7502515974450338,0.184720993193384,0.20396295228189112,0.3178029008646639,0.365174762596258,0.8320346664499814,0.8670872237071724,0.14893898775560596,0.8359678026785222,0.45937169774697106,0.16801830587130348,0.6428793333889025,0.46256705470409387,0.5787741194746396,0.40104067851986747,0.13690971341486266,0.2845427489937084,0.4399793335203914,0.4500728168191639,0.350019504870805,0.40576430398802804,0.08030980338762587,0.6278389580084902,0.255838194121741,0.16949323232820054,0.5858444129494887
Uday Reddy Bondhugula,0.2172579487957264,0.5103051598765813,0.4094350950965798,0.6366410890915248,0.29769759264871365,0.6211202624337274,0.752308108581756,1.0000000000000002,0.5275306370957688,0.6786227427044981,0.7847859953036392,0.5054455178605617,0.6564250148727849,0.6793749876832132,0.8109452559412647,0.24506835873987337,0.560307231203,0.41640567099693065,0.8454129898285379,0.5106063630901556,0.2504832130880107,0.7917562799757207,0.6145404725247021,0.7461447593335744,0.3803475077461162,0.8948039206874231,0.8925698807719157,0.3525888442116865,0.18664506907385364,0.5078403025875784,0.843599966376269,0.9103021760814387,0.5018844878360373,0.5287990660954626,0.7814029763925141,0.6344671242418808,0.5878051089503072,0.6141227881181908,0.37388159910854224,0.7547718829904819,0.5523443334477327,0.3940229365090358,0.8460640415400196,0.23830128378709037,0.7132257144258697,0.23076766001260868,0.5250021945655189,0.694441681959554,0.6328600875831508,0.7892504603416624,0.7917220066925397,0.42115713507808666,0.7907861114350467,0.36322608375298854,0.42235613721896914,0.8933360667112611,0.737720162918345,0.36396148386181515,0.5156032391209862,0.5067919416572698,0.6500846455916273,0.6631280262586176,0.6557453955717336,0.5442431222941627,0.28526751455606125,0.47872715740534844,0.37398307423648836,0.6500534754895237,0.45421686122361615,0.622639123798526
Rijurekha Sen,0.346294357776133,0.3865807719497376,0.4121531302319152,0.721427296318415,0.22460943240532244,0.9388884880414538,0.13820904609672932,0.5275306370957688,1.0000000000000002,0.8922195559167913,0.716099922775216,0.7653850806230739,0.6471882764972033,0.924482510229471,0.07740616603692109,0.3118450409318437,0.939691181491307,0.19439197496262606,0.14202805367705998,0.8129430780135333,0.4045288183970797,0.035468190333884236,0.9693904626199356,0.7634728107741761,0.35989234111305496,0.6609152333179321,0.3190444514943072,0.2768664426931552,0.30699922102617366,0.7258100896022842,0.1892805657313833,0.5980011319131984,0.7504405374832162,0.9005292307072384,0.013550937823601141,0.9360999500168183,0.9501114244633233,0.8180124491688343,0.5943108443724352,0.8891667760116162,0.9600671885094705,0.6302908605547436,0.1683040734549764,0.4393493778328026,0.37376763141240266,0.3122649905113211,0.7585836726162553,0.8118372099269279,0.8711233408083441,0.26493908185227527,0.019080597368323987,0.5623807158718133,0.034196467299206806,0.3255656318012133,0.6133208497530838,0.7005411164877346,0.913541113382207,0.39510352419834904,0.4762844497318998,0.7154531645862868,0.8865383116389122,0.7322835460650804,0.9083224845294388,0.7117139550262948,0.14989427555708046,0.8218442519659777,0.32623284055601004,0.9688085486627104,0.8134683349757482,0.5103009141929467
Ganesh Ramakrishnan,0.2595289895398068,0.4412886570250482,0.4064991395138366,0.7511410791521307,0.37625508060570617,0.9292403922103776,0.3809825074343381,0.6786227427044981,0.8922195559167913,1.0,0.7190344390842568,0.8073265044247733,0.7137408232947277,0.9902103299461504,0.2498654269987643,0.43193793743206377,0.9620509910863825,0.2781998391363486,0.3639360792456049,0.8124809102314605,0.32625480070751794,0.2219391840666009,0.9029193805308255,0.8017017304007155,0.3389065994000177,0.8197786280350734,0.44486491397967276,0.3838538962619673,0.26323711592167093,0.7802849685004943,0.3381401474121739,0.7594260814241719,0.6411202910489414,0.9061345258441851,0.20919902238206117,0.9842447891445963,0.915274029445001,0.9564872625686244,0.6841339849771734,0.8984834257287868,0.9061478413221784,0.6508705040243382,0.32527222404689954,0.36683305591962007,0.6680393367712325,0.25009299938688984,0.9189797009278603,0.9017397414689825,0.9556937471939697,0.3780225849439853,0.22429282787390664,0.771571731791952,0.2188413756288188,0.439440676552204,0.5455770444795615,0.7134066812154453,0.9233268800676827,0.5792982105514962,0.7087905935795604,0.7671733359956492,0.9087618694554955,0.8085368823295648,0.9437976070585591,0.8355816234073012,0.19744429468645575,0.8599010766556568,0.53748088394978,0.9159437043101357,0.6726583555994263,0.5021766055016519
